Timestamp,Koľko rokov programujete profesionálne (akýkoľvek jazyk),Ku ktorej z uvedených rol mate najbližšie?,"Aký je primárny jazyk, ktorý používate najviac?",Aký ďalší jazyk sa v blízkej dobe chcete alebo chceli by ste sa naučiť?,Aký je váš vzťah ku Go,"Ako dlho použivate Go? (v práci, hobby projekt, učenie sa)",V Go programujete,"Odporučili by ste Go priateľom, kolegom?",Cítite sa v Go produktívny?,Bonusovka: Patria podľa vás generika do Go?
4/23/2021 7:29:40,Menej ako 3 roky,Frontend vývoj,JavaScript/TypeScript,Python,V Go neprogramujem ale vyzera zaujímavo,Ešte som v Go nerobil,V Go neprogramujem,4,,
4/23/2021 9:27:46,Som študent,Frontend vývoj,Java/Kotlin/Scala,C#,Go ma nezaujíma,Ešte som v Go nerobil,V Go neprogramujem,3,3,
4/23/2021 9:42:40,6 - 10 rokov,Vývoj backend systémov,C#,Žiaden,Go ma nezaujíma,Ešte som v Go nerobil,V Go neprogramujem,3,3,
4/23/2021 10:36:41,Som študent,Data engineering,Java/Kotlin/Scala,Python,Go ma nezaujíma,Ešte som v Go nerobil,V Go neprogramujem,,,
4/23/2021 10:48:32,10 rokov a viac,"z kazdeho trochu podla toho, co treba (som ucitel/instruktor/programator)",Python,"novy jazyk sice nie, ale skor technologiu",V Go neprogramujem ale vyzera zaujímavo,Ešte som v Go nerobil,V Go neprogramujem,3,1,
4/23/2021 11:53:06,3 - 6 rokov,Fullstack programátor,Java/Kotlin/Scala,Žiaden,Go ma nezaujíma,Ešte som v Go nerobil,V Go neprogramujem,3,3,
4/23/2021 12:10:13,Som študent,Návrh IT systémov a architektúra,Python,Žiaden,Go ma nezaujíma,Ešte som v Go nerobil,V Go neprogramujem,,,
4/23/2021 13:22:09,6 - 10 rokov,Fullstack programátor,Java/Kotlin/Scala,Go,Go sa učím alebo sa chcem naučiť,Ešte som v Go nerobil,V Go neprogramujem,5,3,Nie :-)
4/23/2021 13:44:08,3 - 6 rokov,Vývoj backend systémov,Java/Kotlin/Scala,TypeScript,V Go neprogramujem ale vyzera zaujímavo,Ešte som v Go nerobil,V Go neprogramujem,3,,Ano :-)
4/23/2021 14:37:14,3 - 6 rokov,Vývoj mobilných aplikácii,Java/Kotlin/Scala,Python,Go ma nezaujíma,Ešte som v Go nerobil,V Go neprogramujem,3,3,Ano :-)
4/23/2021 14:37:16,3 - 6 rokov,Vývoj mobilných aplikácii,Swift/Objective C,COBOL,V Go neprogramujem ale vyzera zaujímavo,Ešte som v Go nerobil,V Go neprogramujem,3,1,Ano :-)
4/23/2021 14:52:25,20,Vývoj mobilných aplikácii,Swift/Objective C,Žiaden,Go ma nezaujíma,Ešte som v Go nerobil,,3,1,Nie :-)
4/23/2021 14:59:08,10 rokov a viac,Fullstack programátor,JavaScript/TypeScript,Go,Go sa učím alebo sa chcem naučiť,Menej ako 3 mesiace,CLI nástroje,4,2,
4/23/2021 15:43:29,10 rokov a viac,Vývoj backend systémov,Java/Kotlin/Scala,Scala 3,Go ma nezaujíma,Ešte som v Go nerobil,V Go neprogramujem,1,,Ano :-)
4/23/2021 15:49:46,Menej ako 3 roky,QA/Testing,Java/Kotlin/Scala,TypeScript,V Go neprogramujem ale vyzera zaujímavo,Ešte som v Go nerobil,,,,
4/23/2021 15:52:27,Som študent,Vývoj backend systémov,Java/Kotlin/Scala,Python,Go ma nezaujíma,Ešte som v Go nerobil,,,,
4/23/2021 16:31:28,10 rokov a viac,Fullstack programátor,JavaScript/TypeScript,Žiaden,V Go neprogramujem ale vyzera zaujímavo,Ešte som v Go nerobil,V Go neprogramujem,,,
4/23/2021 17:49:01,6 - 10 rokov,Vývoj backend systémov,Java/Kotlin/Scala,Python,V Go neprogramujem ale vyzera zaujímavo,Menej ako 3 mesiace,V Go neprogramujem,5,2,Nie :-)
4/23/2021 19:32:16,Menej ako 3 roky,DevOps/Cloud,Python,Python,Go ma nezaujíma,Menej ako 3 mesiace,V Go neprogramujem,2,1,Nie :-)
4/23/2021 22:20:47,6 - 10 rokov,Fullstack programátor,C#,Go,Go sa učím alebo sa chcem naučiť,Menej ako 3 mesiace,,5,,
4/25/2021 12:48:48,10 rokov a viac,Návrh IT systémov a architektúra,Java/Kotlin/Scala,Žiaden,používam Go v práci na hlavnom projekte,3 mesiace - 1 rok,"Knižnice a frameworky, Automatizáciu",4,4,Ano :-)
4/25/2021 12:59:09,10 rokov a viac,Middleware,Java/Kotlin/Scala,Rust,používam Go v práci na malé vedľajšie projekty,3 mesiace - 1 rok,"CLI nástroje, Automatizáciu",4,2,Ano :-)
4/25/2021 15:42:06,Menej ako 3 roky,Vývoj backend systémov,RPG,Python,V Go neprogramujem ale vyzera zaujímavo,Ešte som v Go nerobil,V Go neprogramujem,3,3,Ano :-)
4/25/2021 16:04:16,6 - 10 rokov,Fullstack programátor,JavaScript/TypeScript,Python,Go ma nezaujíma,Ešte som v Go nerobil,V Go neprogramujem,1,1,Ano :-)
4/25/2021 20:25:29,Som študent,Vývoj backend systémov,Java/Kotlin/Scala,Go,Go sa učím alebo sa chcem naučiť,Menej ako 3 mesiace,V Go neprogramujem,4,2,Nie :-)
4/26/2021 6:20:15,10 rokov a viac,Návrh IT systémov a architektúra,Java/Kotlin/Scala,Rust,V Go neprogramujem ale vyzera zaujímavo,Ešte som v Go nerobil,V Go neprogramujem,,,
4/26/2021 7:28:28,3 - 6 rokov,Data engineering,Python,Go,Go sa učím alebo sa chcem naučiť,Ešte som v Go nerobil,V Go neprogramujem,4,3,Ano :-)
4/26/2021 7:48:15,10 rokov a viac,Fullstack programátor,C#,Žiaden,Go ma nezaujíma,Ešte som v Go nerobil,V Go neprogramujem,3,1,Ano :-)
4/26/2021 9:24:17,10 rokov a viac,Vývoj backend systémov,Java/Kotlin/Scala,Kotlin,V Go neprogramujem ale vyzera zaujímavo,Ešte som v Go nerobil,V Go neprogramujem,,,Ano :-)
4/26/2021 10:04:29,3 - 6 rokov,Fullstack programátor,PHP,TypeScript,V Go neprogramujem ale vyzera zaujímavo,Menej ako 3 mesiace,WebService aplikácie,3,2,Ano :-)
4/26/2021 11:01:24,10 rokov a viac,3D,C/C++,Kotlin,Go ma nezaujíma,Ešte som v Go nerobil,V Go neprogramujem,2,,
4/26/2021 21:51:27,10 rokov a viac,Návrh IT systémov a architektúra,Java/Kotlin/Scala,Rust,Go ma nezaujíma,Ešte som v Go nerobil,V Go neprogramujem,1,1,Ano :-)
4/27/2021 10:07:03,Som študent,Frontend vývoj,JavaScript/TypeScript,Python,Go sa učím alebo sa chcem naučiť,Menej ako 3 mesiace,V Go neprogramujem,1,1,Nie :-)
4/27/2021 10:11:47,6 - 10 rokov,Frontend vývoj,JavaScript/TypeScript,Python,V Go neprogramujem ale vyzera zaujímavo,Ešte som v Go nerobil,,3,,
4/28/2021 10:13:32,3 - 6 rokov,DevOps/Cloud,ansible,terraform,používam Go v práci na malé vedľajšie projekty,Menej ako 3 mesiace,CLI nástroje,3,2,Nie :-)
4/28/2021 12:38:03,3 - 6 rokov,Vývoj backend systémov,Java/Kotlin/Scala,Go,Go sa učím alebo sa chcem naučiť,Ešte som v Go nerobil,V Go neprogramujem,,,Ano :-)
